"days","Barack Obama","Bill Clinton","Donald Trump","Dwight D. Eisenhower","George H.W. Bush","George W. Bush","Gerald Ford","Harry S. Truman","Jimmy Carter","Joe Biden","John F. Kennedy","Lyndon B. Johnson","Richard Nixon","Ronald Reagan"
30,38.9921189654091,23.6910497569194,-11.1575930823986,61,43.2566469424356,30.8726418613246,68,84,58,15.16032109527,66,71.5814976699867,54,37.1103184879651
31,38.9921189654091,23.6910497569194,-10.707280178471,61,43.2566469424356,30.8726418613246,43.5172378408052,84,58,19.019247508041,66,71.5814976699867,54,37.1103184879651
32,38.9937564157097,28.5832958722027,-11.7871497041615,61,43.2566469424356,30.8726418613246,43.5172378408053,84,61.5643468730152,19.019247508041,66,71.5814976699867,54,37.1103184879652
33,38.7443676153404,28.5832958722027,-10.6423915535657,61,43.2566469424356,30.8726418613246,43.5172378408053,84,61.5643468730152,19.019247508041,66,71.5814976699867,54,37.1103184879651
34,38.098983441184,30.0585109355289,-10.6423915535657,61,43.2566469424356,30.8726418613246,43.5172378408053,84,61.5643468730152,19.019247508041,66,71.5814976699867,54,37.1103184879651
35,38.098983441184,30.0585109355289,-10.6423915535657,61,43.2566469424356,30.8726418613246,43.5172378408053,84,61.5643468730152,19.019247508041,66,71.5814976699867,54,37.1103184879652
36,38.9977428348246,30.0585109355289,-11.0754525947146,61,43.2566469424356,31.5469042707574,43.5172378408053,84,61.5643468730152,19.019247508041,66,71.5814976699867,54,37.1103184879651
37,38.9980919515929,30.0585109355289,-11.0754525947147,61,43.2566469424356,31.5469042707574,43.5172378408052,84,61.5643468730152,19.019247508041,66,71.5814976699867,54,37.1103184879651
38,38.9980919515929,30.0585109355289,-11.0754525947147,59.0711423785453,48.5629053732295,31.5469042707574,43.5172378408052,84,61.5643468730152,19.019247508041,66,71.5814976699867,54,37.1103184879651
39,39.3344055569042,29.0204633612124,-10.6112787764388,59.0711423785453,48.5629053732295,31.5469042707574,43.5172378408052,84,61.5643468730152,19.019247508041,66,71.5814976699867,54,37.1103184879651
40,38.7163988104636,29.0204633612124,-10.6112787764388,59.0711423785453,48.5629053732295,31.5469042707574,43.5172378408053,84,61.5643468730152,16.7248504336529,66,71.5814976699867,54,37.1103184879651
41,37.5094254294512,29.0204633612124,-10.6112787764388,59.0711423785453,49.3955019046247,31.5469042707574,43.5172378408053,84,61.5643468730152,16.7248504336529,66,71.5814976699867,54,37.1103184879651
42,36.8432593585396,29.0204633612124,-9.933203497449,59.0711423785453,49.3955019046246,31.5469042707574,43.5172378408052,84,61.5643468730152,16.7248504336529,66,71.5814976699867,54,37.1103184879651
43,36.8578936043887,29.0204633612124,-9.76989161786462,59.0711423785453,49.3955019046247,34.1959373020016,43.5172378408052,84,61.5643468730152,16.7248504336529,66,71.5814976699867,54,37.1103184879651
44,36.2427166650657,29.0204633612124,-7.42093609397007,59.0711423785453,49.3955019046246,38.0149365011656,43.5172378408052,84,61.5643468730152,16.7248504336529,66,71.5814976699867,54,37.1103184879651
45,36.2050921515414,29.0204633612124,-7.99882233484809,59.0711423785453,49.3955019046246,38.0149365011656,43.5172378408052,84,61.5643468730152,16.7248504336529,66,71.5814976699867,54,37.1103184879651
46,36.2050921515414,29.0204633612124,-7.99882233484809,59.0711423785453,49.3955019046246,38.8441796317844,43.5172378408052,84,61.0714250148511,12.5923216962582,66,71.9776949051932,54,37.1103184879652
47,36.3034286029824,29.0204633612124,-7.99882233484809,59.0711423785453,49.3955019046247,38.8441796317843,43.5172378408053,84,61.0714250148511,11.9613625942218,66,71.9776949051932,54,37.1103184879652
48,36.2127723372166,30.2365860104086,-8.39772578364846,59.0711423785453,49.3955019046246,38.8441796317844,43.5172378408052,84,61.0714250148511,11.9613625942218,66,71.9776949051932,54,37.1103184879651
49,36.2127723372166,30.2365860104086,-8.39772578364846,59.0711423785453,49.3955019046247,38.8441796317843,43.5172378408053,84,61.0714250148512,11.9613625942218,66,71.9776949051932,54,37.1103184879651
50,36.2127723372166,30.2365860104086,-8.39772578364846,59.0711423785453,49.3955019046247,35.6304557717809,43.5172378408052,84,61.0714250148511,11.9613625942218,66,71.9776949051932,54,37.1103184879651
51,35.5590091844031,30.2365860104086,-11.143090611686,59.0711423785453,49.3955019046246,34.9036524095843,43.5172378408053,84,61.0714250148512,11.9613625942218,66,71.9776949051932,54,37.1103184879651
52,35.5590091844031,30.2365860104086,-11.143090611686,59.0711423785453,42.2544387792245,34.9036524095843,23.2940288346617,84,61.0714250148511,11.9613625942218,66,71.9776949051932,54,37.1103184879652
53,35.5590091844031,25.0044539168826,-10.8065791028361,59.0711423785453,42.2544387792245,34.9036524095843,23.2940288346617,84,61.0714250148511,11.9613625942218,66,71.9776949051932,54,37.1103184879651
54,34.2045339497053,25.0044539168826,-10.8367900623324,59.0711423785453,42.2544387792245,34.4617726613779,23.2940288346617,84,61.0714250148512,11.967590156482,66,71.9776949051932,54,37.1103184879651
55,34.698228016593,25.0044539168826,-10.8367900623324,59.0711423785453,42.2544387792245,34.4617726613779,23.2940288346617,84,61.0714250148511,11.967590156482,66,71.9776949051932,54,36.0182685332776
56,34.698228016593,25.0044539168826,-10.240719399156,59.0711423785453,42.2544387792245,34.4617726613779,23.2940288346617,84,61.0714250148512,11.967590156482,66,71.9776949051932,57.8143331303609,36.0182685332776
57,34.698228016593,24.600020176811,-12.1429567571671,59.0711423785453,42.2544387792245,34.4617726613779,23.2940288346617,84,61.0714250148512,11.967590156482,66,71.9776949051932,57.8143331303609,36.0182685332776
58,34.698228016593,24.600020176811,-12.1429567571671,59.0711423785453,42.2544387792245,34.4617726613779,23.2940288346617,84,61.0714250148511,11.967590156482,66,71.9776949051931,57.8143331303609,36.0182685332776
59,34.698228016593,24.6000201768109,-12.2706097989101,59.0711423785453,42.2544387792245,34.4617726613779,23.2940288346617,84,61.0714250148512,15.7694830075869,66,71.9776949051932,57.8143331303609,36.0182685332776
