"days","Joe Biden","Donald Trump","Barack Obama","George W. Bush","Bill Clinton","George H.W. Bush","Ronald Reagan","Jimmy Carter","Gerald Ford","Richard Nixon","Lyndon B. Johnson","John F. Kennedy","Dwight D. Eisenhower","Harry S. Truman"
35,17.2929038328387,-5.57664620320033,39.7059938427154,31.5386326503583,26.4897195487761,44.7602202049433,37.2807787449788,60.1411002006855,50.4073859831646,53.9028874901385,71.4634994424282,65.9996781326489,60.5599298899581,83.9999993080566
36,17.2679744776183,-5.61805660531176,39.3822523179961,31.7743040498673,26.8262429122572,45.0613617773079,37.2532865764237,60.3358251885639,48.5950792934718,53.8932980690138,71.4924358210685,65.9997463717899,60.4557698236034,83.999999333845
37,17.2224308471492,-5.64040676999141,39.072087270544,32.0433213553596,27.1682263091395,45.3848496778938,37.228295300177,60.5125357685086,47.1175125844026,53.8838555070374,71.5223969374251,65.9998568013911,60.341683992116,83.9999993596334
38,17.1526736965848,-5.64511359054829,38.7749966404576,32.3395365695325,27.5069997196502,45.7273865443963,37.2051254271967,60.6678118184272,45.9563981981911,53.8750248018066,71.5445251423436,66.0000175440396,60.2201046050255,83.9999993854217
39,17.0551037810783,-5.63359396029149,38.4904783678358,32.6568016950836,27.8338931240168,46.0780848609067,37.1830974684409,60.8027375033066,45.0697752950682,53.868706411429,71.5586189352339,66.0002367223226,60.0934638718612,83.9999994112101
40,16.9261218557831,-5.60726477253004,38.2180303927773,32.9889687347104,28.1402365024666,46.4241595731151,37.1615319348676,60.9195230599039,44.4156830352649,53.8671596591395,71.5666408526473,66.0005224588272,59.9641940021526,83.9999994369985
41,16.7621286758523,-5.567542920573,37.9571506553807,33.3298896911104,28.4173598352271,46.7528256267116,37.1397493374349,61.0203787249758,43.9521605790124,53.8726438681731,71.5710773276554,66.0008828761407,59.8347272054289,83.9999994627868
42,16.5595249964393,-5.51637314837632,37.7073370957449,33.6734165669811,28.6565931025255,47.0512979673863,37.1170701871009,61.1075147352792,43.6372470865415,53.8874183617647,71.5765103794126,66.001325673245,59.7074956912198,83.9999994885752
43,16.3147115726974,-5.45781160248341,37.4682904747282,34.0134013650199,28.8492662845892,47.3067915408293,37.0927602883408,61.1831413275711,43.4238336623505,53.9137424631492,71.5880459235938,66.0018568547013,59.5849316690544,83.9999995143636
44,16.0266612622898,-5.39644228008457,37.2405228362273,34.3436960879244,28.9867093616457,47.5065212927309,37.0658666196984,61.2494687386083,43.2442191880057,53.9538754955617,71.6107898758739,66.0024820014654,59.4694673484624,83.9999995401519
45,15.7046353329198,-5.33684917837012,37.0247490448985,34.6577361995649,29.0625230475837,47.637702168781,37.0353814532346,61.3087072051478,43.0255544893407,54.010076782237,71.6482065718963,66.0032066944934,59.363534938973,83.9999995659403
46,15.3604671548007,-5.28361629453038,36.8216839653983,34.9472910085039,29.0793909909375,47.68754911467,37.0002970610105,61.3630669639464,42.694990392189,54.0846056464102,71.6971940271786,66.0040365147412,59.2690162161148,83.9999995917287
47,15.0059900981457,-5.24132762575561,36.632042462383,35.2037132844764,29.0422675739027,47.6472667437234,36.959605715087,61.414758251761,42.1796777223842,54.1791075487211,71.7530086772068,66.0049770431647,59.1855912194122,83.999999617517
48,14.6530375331679,-5.21456716923617,36.4565394005089,35.4183557972178,28.9561071786751,47.5240183398102,36.912299687525,61.4661106915324,41.4067673057599,54.2927724994301,71.8109069574669,66.0060338607199,59.112389554389,83.9999996433054
49,14.3134428300808,-5.20791892216231,36.2958896444325,35.5825713164632,28.8258641874503,47.3289568544347,36.8573712503856,61.5199314509371,40.3264080649123,54.4241766462022,71.8662304512368,66.0071717519419,59.0485408265688,83.9999996690938
50,13.9990393590974,-5.2259668817244,36.15080805881,35.687712611948,28.6564929824241,47.0732352391013,36.7938126757297,61.5791470838355,38.9807413094889,54.5718961367027,71.9146613329607,66.008192315683,58.9931746414751,83.9999996948821
51,13.721660490431,-5.27229499170674,36.0220095082978,35.7251324534074,28.4529479457921,46.7680064453144,36.7206162356182,61.646684144088,37.4349064459004,54.7345071185968,71.9519669248749,66.0088563543747,58.9454206046316,83.9999997206705
52,13.4931395942949,-5.34648698226997,35.9095154296353,35.6861836105765,28.22018345975,46.4244234245785,36.6374206054302,61.725469185555,35.7540428805571,54.9105857395497,71.9752194367714,66.0089246704484,58.9044083215619,83.9999997464589
53,13.3222930278983,-5.44712653016874,35.8105735478935,35.5622188531907,27.9631539064935,46.053639128398,36.5464500738165,61.8184287620969,34.0032900198692,55.0987081472266,71.9867106286659,66.0081580663356,58.8692673977897,83.9999997722472
54,13.2058690964343,-5.57279731215773,35.7217381602267,35.3475054065928,27.6868136682183,45.6668065082773,36.4505753327461,61.9284894275741,32.2477872702473,55.2974504892927,71.9900371481298,66.0063173444678,58.8391274388386,83.9999997980356
55,13.1375990920921,-5.72208300499157,35.6395635637888,35.0479683185564,27.3959096015649,45.2750785157208,36.3526670741878,62.0585777358471,30.5526740381018,55.5053889134133,71.9887956427346,66.0031633072765,58.8138000688947,83.999999823824
56,13.1112143070608,-5.89356728542494,35.5606040557341,34.6724470924626,27.0943584609524,44.889608102233,36.2555959901105,62.2116202407761,28.974852207911,55.7210995672535,71.9860508464978,65.9984828014621,58.7958249867945,83.9999998495346
57,13.1204460335296,-6.0858338302125,35.4814139332166,34.2297812316927,26.7858694752449,44.5200010543697,36.1622327724831,62.3883845256642,27.5382735764261,55.9421085502874,71.98273983922,65.9921668508001,58.788423910037,83.9999998755786
58,13.1590255636875,-6.29746631610892,35.3985474933904,33.7288102396278,26.4741518733065,44.169674498893,36.0754481132746,62.5810022915847,26.2586524184662,56.161741769225,71.9792677871474,65.984132523335,58.7948185561211,83.9999999026895
59,13.2206841897238,-6.52704841986885,35.3085590334097,33.1783736196491,26.1629148840011,43.8404983976162,35.9981127044537,62.7794462690532,25.1517030088503,56.3722750825851,71.9760398565266,65.9742968871115,58.818230642546,83.9999999316008
60,13.2991532038275,-6.77316381824696,35.2080028504285,32.5873108751378,25.8558677361928,43.5343427123529,35.9330972379894,62.9736891885855,24.2331396223974,56.5659843488865,71.9735642069564,65.9625770101739,58.8618818868104,83.9999999630459
61,13.3881638981878,-7.03392801178613,35.093433241601,31.9644615094751,25.5567196587457,43.2530774049166,35.8832724058507,63.1537037806976,23.5186765339267,56.735145426648,71.9727609714454,65.9488899605669,58.9289940064134,83.9999999977583
62,13.4814475649938,-7.30558379618213,34.96240635019,31.3186650260421,25.2691798805236,42.9985724371207,35.8524074542322,63.3094627759051,23.0155564696535,56.8720341743884,71.9746532763552,65.9331528063348,59.0227887188541,84.0000000364714
63,13.5738593693658,-7.58390579091895,34.8164857038937,30.6587609282202,24.9969576303907,42.7726977707786,35.847865846232,63.4309389047238,22.6971359613777,56.9689264506267,71.9802082002083,65.9154440851659,59.1464877416314,84.0000000799187
64,13.6647499681476,-7.86466861548059,34.658236676519,29.993342330131,24.7429779873351,42.5773233677039,35.8779095991744,63.5081048976695,22.5282999922953,57.0180981138815,71.9901686301738,65.8964882133237,59.3033127922442,84.0000001288337
65,13.7545938911144,-8.14364688935103,34.4902246418728,29.3300167888593,24.5070294308419,42.4143191897101,35.9508007303833,63.5309334852581,22.4739335456025,57.0118250226716,72.0052214055824,65.8771710767153,59.4953410251213,84.0000001839497
66,13.8438656680413,-8.41661523201425,34.315014973762,28.6761454722304,24.2881162905202,42.2846623094031,36.0748012571826,63.4893973980053,22.4989216044954,56.9446939039762,72.0260533657646,65.8583785612478,59.7200713424094,84.0000002460002
67,13.9330398287033,-8.67934826295428,34.1351730459936,28.0390895480695,24.0852428959793,42.18575824256,36.2581731968966,63.3761183230115,22.56814915217,56.8205349586147,72.0520277654007,65.8409965528284,59.9738580831853,84.0000003157186
68,14.0225909028754,-8.92762060165507,33.9532642323743,27.4262101842019,23.8974135768283,42.11411961575,36.5091785668492,63.1943137737156,22.6521393391243,56.6454892558668,72.0772135205705,65.8259109373641,60.2530555865254,84.0000003938383
69,14.1129934203327,-9.15720686760064,33.7718539067113,26.844868548453,23.7236326626764,42.0662590555427,36.8360793843645,62.9498502201412,22.7439679850628,56.4256978650123,72.0943559627034,65.8140076007622,60.5540181915064,84.0000004810927
70,14.2047219108502,-9.36453820584831,33.5935074428113,26.3024258086481,23.5629044831329,42.0386891885075,37.2471376667664,62.6485941323118,22.842349076992,56.1673018553308,72.096200423229,65.807583265813,60.8731002372047,84.0000005782152
71,14.2982509042031,-9.54867186374867,33.4206533735537,25.8062431326124,23.4142333678069,42.0279226412138,37.7468943299202,62.296411980251,22.9459966019183,55.8764422961021,72.068141573808,65.8145780028397,61.206656062697,84.0000006859392
72,14.3938134102975,-9.70932161422573,33.2551728681073,25.3636816881713,23.2766236463076,42.030472040231,38.3250058838554,61.8991702339822,23.053624546848,55.5592602566059,71.9661714470273,65.8443427190489,61.5510400070598,84.0000008049982
73,14.490676359564,-9.84620123020341,33.0988102547132,24.9808422769753,23.1490796482442,42.0428500121288,38.9674077371427,61.4627353635291,23.1639468987877,55.2218968061218,71.7389314157048,65.9062283216469,61.9026064093696,84.0000009335621
74,14.5878651625645,-9.95902448460572,32.9533098616128,24.6587842359761,23.030445921644,42.0615691834765,39.6600352983528,60.9929738389151,23.2756776447437,54.8704930139296,71.3531928061388,66.0095857178403,62.257440213839,84.0000010595469
75,14.6844052298606,-10.0475051503566,32.820416017047,24.3973065359507,22.9189278882074,42.0831421808434,40.3888239760564,60.4957521301639,23.3875025065243,54.5111899493091,70.8482467585483,66.1637658148355,62.6105487852242,84.0000011683053
76,14.7793219720142,-10.11135700038,32.7018730492572,24.1962081476761,22.8125711880525,42.1046368957303,41.1397091788241,59.9760387635523,23.4979941451453,54.1493060554712,70.2815143666327,66.378119519839,62.9566700934175,84.0000012451899
